ID,Животное,Тип,Место наблюдения,Сезон,Количество особей,Температура воздуха (°C),Тип питания,Антропогенный фактор,Интересный факт
545,Чайка,птица,Баргузинский залив,весна,1.0,-7.4744822445,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
546,Чайка,птица,Чивыркуйский залив,лето,26.0,14.6323673574,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
547,Эпишура,планктон,Чивыркуйский залив,осень,3199.0,6.9289509476,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
548,Эпишура,планктон,Малое Море,зима,803.0,-12.4937660362,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
549,Омуль,рыба,Малое Море,зима,161.0,-16.8052915374,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
550,Чайка,птица,Малое Море,зима,1.0,-17.8787651868,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
551,Чайка,птица,Чивыркуйский залив,зима,1.0,-19.2357914731,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
552,Голомянка,рыба,Малое Море,весна,297.0,-6.1410201512,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
553,Омуль,рыба,Ольхон,зима,117.0,-22.8015699578,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
554,Чайка,птица,Баргузинский залив,лето,22.0,17.9189645166,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
555,Чайка,птица,Баргузинский залив,зима,1.0,-18.0249005168,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
556,Чайка,птица,Селенгинский район,лето,20.0,17.9032024548,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
557,Байкальский осетр,рыба,Малое Море,лето,1.0,17.040830359,бентофаг,рыболовство,"Занесен в Красную книгу, встречается крайне редко"
558,Чайка,птица,Селенгинский район,осень,1.0,-9.1831225685,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
559,Эпишура,планктон,Малое Море,весна,2521.0,0.2061452842,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
560,Эпишура,планктон,Чивыркуйский залив,лето,8127.0,14.4401663042,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
561,Байкальский осетр,рыба,Малое Море,лето,1.0,14.2387350609,бентофаг,туристы,"Занесен в Красную книгу, встречается крайне редко"
562,Чайка,птица,Малое Море,зима,1.0,-16.8614342619,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
563,Чайка,птица,Ольхон,весна,22.0,9.6416380215,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
564,Эпишура,планктон,Малое Море,весна,7362.0,6.2580119534,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
565,Чайка,птица,Баргузинский залив,зима,1.0,-11.4443135255,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
566,Большой баклан,птица,Малое Море,лето,523.0,10.2963958318,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
567,Омуль,рыба,Малое Море,зима,121.0,-22.8949544981,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
568,Голомянка,рыба,Малое Море,зима,380.0,-23.7285450966,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
569,Большой баклан,птица,Баргузинский залив,весна,153.0,-4.7353798987,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
570,Нерпа,млекопитающее,Ольхон,осень,4.0,-1.743225241,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
571,Эпишура,планктон,Чивыркуйский залив,осень,2383.0,4.2615974297,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
572,Омуль,рыба,Малое Море,лето,88.0,15.0083126629,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
573,Омуль,рыба,Малое Море,лето,163.0,19.0318391491,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
574,Чайка,птица,Баргузинский залив,осень,19.0,13.1956787668,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
575,Чайка,птица,Ольхон,зима,1.0,-22.547185732,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
576,Чайка,птица,Баргузинский залив,осень,18.0,,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
577,Большой баклан,птица,Селенгинский район,весна,116.0,-0.3655559197,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
578,Омуль,рыба,Селенгинский район,осень,216.0,-1.4001158605,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
579,Большой баклан,птица,Баргузинский залив,осень,652.0,8.5481804545,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
580,Омуль,рыба,Селенгинский район,осень,399.0,-12.2057847287,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
581,Чайка,птица,Селенгинский район,весна,11.0,7.6498625484,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
582,Чайка,птица,Ольхон,весна,15.0,3.417267091,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
583,Эпишура,планктон,Чивыркуйский залив,лето,12365.0,18.7526160766,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
584,Эпишура,планктон,Ольхон,весна,4563.0,9.8895515542,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
585,Чайка,птица,Ольхон,лето,23.0,15.1800445236,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
586,Омуль,рыба,Баргузинский залив,весна,102.0,-8.1347560418,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
587,Большой баклан,птица,Малое Море,осень,242.0,-10.0042841121,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
588,Большой баклан,птица,Баргузинский залив,осень,865.0,-5.2914527234,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
589,Омуль,рыба,Селенгинский район,осень,374.0,-11.893411736,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
590,Чайка,птица,Чивыркуйский залив,осень,21.0,9.4602547841,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
591,Чайка,птица,Баргузинский залив,весна,8.0,-4.0626429793,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
592,Чайка,птица,Малое Море,осень,28.0,14.2765856406,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
593,Байкальский осетр,рыба,Малое Море,весна,2.0,4.0518286386,бентофаг,нет влияния,"Занесен в Красную книгу, встречается крайне редко"
594,Чайка,птица,Баргузинский залив,весна,7.0,-6.5313925949,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
595,Омуль,рыба,Малое Море,зима,106.0,-17.8593602958,всеядный,НЕТ,"Символ Байкала, нерестится в реках осенью"
596,Омуль,рыба,Селенгинский район,зима,163.0,-17.9967366755,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
597,Омуль,рыба,Малое Море,лето,134.0,14.9251165833,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
598,Чайка,птица,Селенгинский район,осень,8.0,1.0707351193,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
599,Омуль,рыба,Малое Море,зима,175.0,-24.5324037652,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
600,Чайка,птица,Чивыркуйский залив,весна,13.0,3.7260225149,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
601,Чайка,птица,Чивыркуйский залив,лето,29.0,14.8719177529,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
602,Омуль,рыба,Чивыркуйский залив,осень,141.0,8.7289619661,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
603,Голомянка,рыба,Баргузинский залив,осень,223.0,9.4604871978,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
604,Чайка,птица,Малое Море,весна,1.0,-5.3892975602,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
605,Омуль,рыба,Ольхон,весна,76.0,-9.0315410715,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
606,Чайка,птица,Ольхон,осень,13.0,6.0970156834,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
607,Эпишура,планктон,Ольхон,лето,3428.0,19.7776278846,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
608,Чайка,птица,Селенгинский район,весна,13.0,-1.0668402684,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
609,Омуль,рыба,Ольхон,осень,299.0,-7.2116157122,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
610,Нерпа,млекопитающее,Малое Море,весна,4.0,-6.8665621083,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
611,Эпишура,планктон,Малое Море,зима,3566.0,-20.6883160391,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
612,Омуль,рыба,Ольхон,осень,260.0,-5.1624134589,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
613,Омуль,рыба,Малое Море,лето,114.0,14.2387474343,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
614,Омуль,рыба,Ольхон,лето,63.0,16.5540712321,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
615,Чайка,птица,Селенгинский район,лето,14.0,12.7316305608,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
616,Чайка,птица,Ольхон,зима,1.0,-24.235348548,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
617,Эпишура,планктон,Чивыркуйский залив,лето,2425.0,13.7327861157,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
618,Голомянка,рыба,Селенгинский район,зима,335.0,-12.1655557576,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
619,Нерпа,млекопитающее,Селенгинский район,осень,2.0,-0.0494546744,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
620,Омуль,рыба,Малое Море,весна,182.0,9.2956751549,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
621,Эпишура,планктон,Селенгинский район,лето,8438.0,15.0362153109,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
622,Голомянка,рыба,Баргузинский залив,весна,301.0,-4.4820236616,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
623,Чайка,птица,Селенгинский район,осень,1.0,-9.2005800826,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
624,Чайка,птица,Малое Море,зима,1.0,-14.5821325482,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
625,Большой баклан,птица,Баргузинский залив,осень,661.0,1.0914385733,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
626,Чайка,птица,Баргузинский залив,лето,27.0,16.03998929,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
627,Омуль,рыба,Баргузинский залив,лето,152.0,17.5512678933,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
628,Омуль,рыба,Баргузинский залив,осень,170.0,6.7771039279,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
629,Голомянка,рыба,Селенгинский район,весна,298.0,-9.1327339966,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
630,Эпишура,планктон,Чивыркуйский залив,осень,6216.0,9.0771571589,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
631,Большой баклан,птица,Малое Море,весна,691.0,0.654066141,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
632,Чайка,птица,Малое Море,осень,10.0,-3.2487440756,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
633,Чайка,птица,Ольхон,весна,13.0,0.7503885254,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
634,Чайка,птица,Ольхон,лето,22.0,16.1245144846,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
635,Омуль,рыба,Баргузинский залив,лето,71.0,11.4950630987,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
636,Омуль,рыба,Малое Море,осень,223.0,-2.4775381402,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
637,Большой баклан,птица,Ольхон,весна,79.0,-3.2882757962,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
638,Чайка,птица,Селенгинский район,лето,25.0,13.5040894482,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
639,Чайка,птица,Малое Море,весна,1.0,-8.1733012319,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
640,Нерпа,млекопитающее,Малое Море,весна,6.0,-6.80313024,хищник,загрязнение,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
641,Эпишура,планктон,Ольхон,зима,3423.0,-22.5725189862,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
642,Омуль,рыба,Малое Море,зима,52.0,-19.4016288517,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
643,Эпишура,планктон,Ольхон,лето,9476.0,18.9449154487,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
644,Омуль,рыба,Малое Море,лето,154.0,12.0602737192,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
645,Голомянка,рыба,Селенгинский район,весна,286.0,-1.6761498465,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
646,Большой баклан,птица,Баргузинский залив,осень,434.0,-5.651717541,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
647,Чайка,птица,Баргузинский залив,зима,1.0,-13.1892503117,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
648,Омуль,рыба,Чивыркуйский залив,лето,152.0,10.5012643232,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
649,Эпишура,планктон,Баргузинский залив,весна,6150.0,-6.0691320893,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
650,Чайка,птица,Баргузинский залив,лето,23.0,12.1064154235,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
651,Омуль,рыба,Селенгинский район,осень,30.0,14.7888840094,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
652,Чайка,птица,Баргузинский залив,зима,1.0,-16.4383747305,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
653,Эпишура,планктон,Малое Море,весна,6935.0,-7.2208347123,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
654,Омуль,рыба,Малое Море,лето,158.0,12.7219913928,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
655,Чайка,птица,Селенгинский район,зима,1.0,-22.4826685882,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
656,Эпишура,планктон,Малое Море,лето,12231.0,11.2460456962,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
657,Эпишура,планктон,Малое Море,весна,8431.0,5.9436405682,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
658,Чайка,птица,Селенгинский район,осень,1.0,-0.1274211402,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
659,Чайка,птица,Ольхон,зима,1.0,-15.5318479473,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
660,Чайка,птица,Ольхон,весна,6.0,-3.3749750602,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
661,Эпишура,планктон,Малое Море,осень,9636.0,1.610852582,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
662,Голомянка,рыба,Чивыркуйский залив,зима,352.0,-21.1364645121,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
663,Эпишура,планктон,Чивыркуйский залив,осень,4181.0,-5.7589117522,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
664,Чайка,птица,Селенгинский район,осень,13.0,4.567138331,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
665,Голомянка,рыба,Ольхон,зима,371.0,-22.7447481112,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
666,Чайка,птица,Ольхон,весна,4.0,2.3444371833,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
667,Чайка,птица,Ольхон,осень,14.0,10.5670444927,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
668,Чайка,птица,Селенгинский район,весна,1.0,-7.5915354764,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
669,Чайка,птица,Малое Море,лето,30.0,18.9746128057,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
670,Омуль,рыба,Чивыркуйский залив,лето,112.0,10.794456803,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
671,Чайка,птица,Малое Море,осень,1.0,-4.5327231913,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
672,Чайка,птица,Ольхон,весна,6.0,2.2101863048,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
673,Чайка,птица,Малое Море,зима,1.0,-16.6087785982,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
674,Омуль,рыба,Ольхон,зима,135.0,-23.5541339126,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
675,Эпишура,планктон,Селенгинский район,осень,5029.0,8.9673950336,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
676,Чайка,птица,Селенгинский район,весна,14.0,9.4630658629,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
677,Чайка,птица,Чивыркуйский залив,зима,1.0,-22.2815756622,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
678,Чайка,птица,Баргузинский залив,зима,1.0,-11.5730354528,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
679,Чайка,птица,Малое Море,зима,1.0,-16.6478583683,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
680,Омуль,рыба,Баргузинский залив,осень,38.0,13.0780131374,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
681,Большой баклан,птица,Чивыркуйский залив,весна,279.0,-6.4782808317,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
682,Омуль,рыба,Баргузинский залив,весна,150.0,5.8404278636,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
683,Нерпа,млекопитающее,Малое Море,осень,1.0,-13.2065527366,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
684,Эпишура,планктон,Чивыркуйский залив,зима,4860.0,-11.752053298,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
685,Чайка,птица,Баргузинский залив,весна,12.0,3.483188444,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
686,Голомянка,рыба,Ольхон,весна,291.0,-2.5949043216,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
687,Омуль,рыба,Ольхон,лето,98.0,11.904668235,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
688,Омуль,рыба,Ольхон,весна,157.0,6.3306619713,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
689,Чайка,птица,Баргузинский залив,зима,1.0,-15.9513801791,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
690,Омуль,рыба,Селенгинский район,осень,255.0,-4.1875244116,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
691,Омуль,рыба,Баргузинский залив,зима,20.0,-18.342462628,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
692,Чайка,птица,Ольхон,лето,20.0,18.2654265607,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
693,Чайка,птица,Селенгинский район,осень,5.0,-4.8321841993,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
694,Омуль,рыба,Малое Море,осень,332.0,-12.3110196567,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
695,Чайка,птица,Малое Море,зима,1.0,-11.3307674169,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
696,Омуль,рыба,Чивыркуйский залив,весна,36.0,-2.2531252068,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
697,Эпишура,планктон,Чивыркуйский залив,зима,3234.0,-19.7741873333,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
698,Омуль,рыба,Селенгинский район,осень,347.0,-8.8680114337,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
699,Омуль,рыба,Селенгинский район,зима,103.0,-11.5386614316,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
700,Голомянка,рыба,Малое Море,осень,303.0,-8.4748399894,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
701,Байкальский осетр,рыба,Селенгинский район,лето,2.0,16.36672868,бентофаг,нет влияния,"Занесен в Красную книгу, встречается крайне редко"
702,Эпишура,планктон,Селенгинский район,зима,4525.0,-11.7885248259,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
703,Голомянка,рыба,Малое Море,зима,399.0,-24.476295781,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
704,Омуль,рыба,Баргузинский залив,весна,95.0,6.575834106,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
705,Чайка,птица,Малое Море,осень,10.0,-2.6820173493,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
706,Чайка,птица,Селенгинский район,лето,29.0,16.5797457527,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
707,Чайка,птица,Чивыркуйский залив,зима,1.0,-19.4139315516,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
708,Чайка,птица,Баргузинский залив,весна,8.0,3.9103251269,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
709,Чайка,птица,Чивыркуйский залив,весна,0.0,-4.9141017088,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
710,Эпишура,планктон,Малое Море,весна,8950.0,-9.5613891513,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
711,Голомянка,рыба,Ольхон,осень,215.0,13.4336254436,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
712,Чайка,птица,Чивыркуйский залив,осень,1.0,-14.5089670788,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
713,Эпишура,планктон,Малое Море,зима,3743.0,-12.6385106555,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
714,Чайка,птица,Малое Море,осень,5.0,-9.9258722003,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
715,Чайка,птица,Селенгинский район,весна,1.0,-2.155595428,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
716,Чайка,птица,Чивыркуйский залив,лето,25.0,18.2249237651,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
717,Эпишура,планктон,Малое Море,зима,1903.0,-21.9110177453,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
718,Голомянка,рыба,Ольхон,весна,223.0,7.3141521105,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
719,Чайка,птица,Ольхон,весна,13.0,-0.044821218,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
720,Голомянка,рыба,Малое Море,осень,311.0,-4.0153961185,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
721,Эпишура,планктон,Баргузинский залив,лето,4776.0,16.6243774674,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
722,Чайка,птица,Ольхон,весна,9.0,-3.1722055604,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
723,Омуль,рыба,Чивыркуйский залив,зима,25.0,-19.7906746151,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
724,Нерпа,млекопитающее,Селенгинский район,зима,2.0,-13.9971041359,хищник,загрязнение,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
725,Эпишура,планктон,Чивыркуйский залив,осень,6077.0,-5.7050332638,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
726,Нерпа,млекопитающее,Баргузинский залив,весна,1.0,-5.9845470329,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
727,Голомянка,рыба,Баргузинский залив,весна,205.0,6.1529225599,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
728,Омуль,рыба,Ольхон,весна,46.0,6.1074206745,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
729,Эпишура,планктон,Ольхон,лето,7225.0,14.9758570371,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
730,Голомянка,рыба,Чивыркуйский залив,зима,349.0,-17.1001657576,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
731,Эпишура,планктон,Чивыркуйский залив,весна,1487.0,3.9215325154,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
732,Эпишура,планктон,Чивыркуйский залив,зима,4110.0,-17.3608856236,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
733,Омуль,рыба,Ольхон,осень,230.0,-2.4888012309,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
734,Чайка,птица,Малое Море,лето,32.0,19.948941933,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
735,Эпишура,планктон,Баргузинский залив,зима,3775.0,-22.7853935822,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
736,Нерпа,млекопитающее,Малое Море,лето,6.0,15.9272797924,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
737,Эпишура,планктон,Баргузинский залив,зима,1353.0,-11.7120546089,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
738,Эпишура,планктон,Чивыркуйский залив,весна,3134.0,3.7443008236,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
739,Чайка,птица,Баргузинский залив,зима,1.0,-11.7861505137,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
740,Чайка,птица,Чивыркуйский залив,зима,1.0,-19.9549791947,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
741,Нерпа,млекопитающее,Селенгинский район,весна,5.0,-4.5601404748,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
742,Омуль,рыба,Чивыркуйский залив,весна,158.0,7.025447738,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
743,Эпишура,планктон,Ольхон,лето,7292.0,13.9411457619,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
744,Омуль,рыба,Чивыркуйский залив,осень,205.0,6.2904696917,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
745,Чайка,птица,Селенгинский район,лето,23.0,11.4774857841,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
746,Большой баклан,птица,Чивыркуйский залив,зима,63.0,-13.6624281193,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
747,Голомянка,рыба,Чивыркуйский залив,весна,269.0,0.9796529805,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
748,Омуль,рыба,Малое Море,зима,60.0,-20.9708254013,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
749,Омуль,рыба,Селенгинский район,зима,23.0,-17.5824405406,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
750,Омуль,рыба,Баргузинский залив,лето,107.0,16.9694362584,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
751,Омуль,рыба,Баргузинский залив,осень,301.0,-14.6434077346,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
752,Омуль,рыба,Ольхон,осень,174.0,4.1240117644,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
753,Эпишура,планктон,Ольхон,весна,2810.0,0.8318155655,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
754,Омуль,рыба,Ольхон,весна,111.0,-5.5942766451,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
